from_id,to_id,relationship_type,theme
11,227,HAS_THEME_PHRASE,pricing
198,227,HAS_PHRASE,pricing
25,228,HAS_THEME_PHRASE,pricing
198,228,HAS_PHRASE,pricing
26,229,HAS_THEME_PHRASE,pricing
198,229,HAS_PHRASE,pricing
27,230,HAS_THEME_PHRASE,pricing
198,230,HAS_PHRASE,pricing
28,231,HAS_THEME_PHRASE,pricing
198,231,HAS_PHRASE,pricing
29,232,HAS_THEME_PHRASE,pricing
198,232,HAS_PHRASE,pricing
30,233,HAS_THEME_PHRASE,pricing
198,233,HAS_PHRASE,pricing
32,234,HAS_THEME_PHRASE,pricing
198,234,HAS_PHRASE,pricing
56,235,HAS_THEME_PHRASE,pricing
198,235,HAS_PHRASE,pricing
64,236,HAS_THEME_PHRASE,pricing
198,236,HAS_PHRASE,pricing
66,237,HAS_THEME_PHRASE,pricing
198,237,HAS_PHRASE,pricing
67,238,HAS_THEME_PHRASE,pricing
198,238,HAS_PHRASE,pricing
76,239,HAS_THEME_PHRASE,pricing
198,239,HAS_PHRASE,pricing
81,240,HAS_THEME_PHRASE,pricing
198,240,HAS_PHRASE,pricing
101,241,HAS_THEME_PHRASE,pricing
198,241,HAS_PHRASE,pricing
104,242,HAS_THEME_PHRASE,pricing
198,242,HAS_PHRASE,pricing
106,243,HAS_THEME_PHRASE,pricing
198,243,HAS_PHRASE,pricing
109,244,HAS_THEME_PHRASE,pricing
198,244,HAS_PHRASE,pricing
12,245,HAS_THEME_PHRASE,advertising
199,245,HAS_PHRASE,advertising
21,246,HAS_THEME_PHRASE,advertising
199,246,HAS_PHRASE,advertising
22,247,HAS_THEME_PHRASE,advertising
199,247,HAS_PHRASE,advertising
33,248,HAS_THEME_PHRASE,advertising
199,248,HAS_PHRASE,advertising
34,249,HAS_THEME_PHRASE,advertising
199,249,HAS_PHRASE,advertising
35,250,HAS_THEME_PHRASE,advertising
199,250,HAS_PHRASE,advertising
40,251,HAS_THEME_PHRASE,advertising
199,251,HAS_PHRASE,advertising
41,252,HAS_THEME_PHRASE,advertising
199,252,HAS_PHRASE,advertising
63,253,HAS_THEME_PHRASE,advertising
199,253,HAS_PHRASE,advertising
84,254,HAS_THEME_PHRASE,advertising
199,254,HAS_PHRASE,advertising
86,255,HAS_THEME_PHRASE,advertising
199,255,HAS_PHRASE,advertising
87,256,HAS_THEME_PHRASE,advertising
199,256,HAS_PHRASE,advertising
14,257,HAS_THEME_PHRASE,consumer_protection
200,257,HAS_PHRASE,consumer_protection
19,258,HAS_THEME_PHRASE,consumer_protection
200,258,HAS_PHRASE,consumer_protection
51,259,HAS_THEME_PHRASE,consumer_protection
200,259,HAS_PHRASE,consumer_protection
55,260,HAS_THEME_PHRASE,consumer_protection
200,260,HAS_PHRASE,consumer_protection
56,261,HAS_THEME_PHRASE,consumer_protection
200,261,HAS_PHRASE,consumer_protection
57,262,HAS_THEME_PHRASE,consumer_protection
200,262,HAS_PHRASE,consumer_protection
58,263,HAS_THEME_PHRASE,consumer_protection
200,263,HAS_PHRASE,consumer_protection
59,264,HAS_THEME_PHRASE,consumer_protection
200,264,HAS_PHRASE,consumer_protection
64,265,HAS_THEME_PHRASE,consumer_protection
200,265,HAS_PHRASE,consumer_protection
68,266,HAS_THEME_PHRASE,consumer_protection
200,266,HAS_PHRASE,consumer_protection
82,267,HAS_THEME_PHRASE,consumer_protection
200,267,HAS_PHRASE,consumer_protection
88,268,HAS_THEME_PHRASE,consumer_protection
200,268,HAS_PHRASE,consumer_protection
136,269,HAS_THEME_PHRASE,consumer_protection
200,269,HAS_PHRASE,consumer_protection
43,270,HAS_THEME_PHRASE,enforcement
201,270,HAS_PHRASE,enforcement
102,271,HAS_THEME_PHRASE,enforcement
201,271,HAS_PHRASE,enforcement
119,272,HAS_THEME_PHRASE,enforcement
201,272,HAS_PHRASE,enforcement
128,273,HAS_THEME_PHRASE,enforcement
201,273,HAS_PHRASE,enforcement
130,274,HAS_THEME_PHRASE,enforcement
201,274,HAS_PHRASE,enforcement
131,275,HAS_THEME_PHRASE,enforcement
201,275,HAS_PHRASE,enforcement
132,276,HAS_THEME_PHRASE,enforcement
201,276,HAS_PHRASE,enforcement
133,277,HAS_THEME_PHRASE,enforcement
201,277,HAS_PHRASE,enforcement
134,278,HAS_THEME_PHRASE,enforcement
201,278,HAS_PHRASE,enforcement
135,279,HAS_THEME_PHRASE,enforcement
201,279,HAS_PHRASE,enforcement
52,280,HAS_THEME_PHRASE,vulnerable_groups
202,280,HAS_PHRASE,vulnerable_groups
53,281,HAS_THEME_PHRASE,vulnerable_groups
202,281,HAS_PHRASE,vulnerable_groups
54,282,HAS_THEME_PHRASE,vulnerable_groups
202,282,HAS_PHRASE,vulnerable_groups
89,283,HAS_THEME_PHRASE,vulnerable_groups
202,283,HAS_PHRASE,vulnerable_groups
91,284,HAS_THEME_PHRASE,vulnerable_groups
202,284,HAS_PHRASE,vulnerable_groups
92,285,HAS_THEME_PHRASE,vulnerable_groups
202,285,HAS_PHRASE,vulnerable_groups
20,286,HAS_THEME_PHRASE,product_information
203,286,HAS_PHRASE,product_information
21,287,HAS_THEME_PHRASE,product_information
203,287,HAS_PHRASE,product_information
33,288,HAS_THEME_PHRASE,product_information
203,288,HAS_PHRASE,product_information
35,289,HAS_THEME_PHRASE,product_information
203,289,HAS_PHRASE,product_information
46,290,HAS_THEME_PHRASE,product_information
203,290,HAS_PHRASE,product_information
47,291,HAS_THEME_PHRASE,product_information
203,291,HAS_PHRASE,product_information
48,292,HAS_THEME_PHRASE,product_information
203,292,HAS_PHRASE,product_information
50,293,HAS_THEME_PHRASE,product_information
203,293,HAS_PHRASE,product_information
17,294,HAS_THEME_PHRASE,misleading_omissions
204,294,HAS_PHRASE,misleading_omissions
51,295,HAS_THEME_PHRASE,misleading_omissions
204,295,HAS_PHRASE,misleading_omissions
60,296,HAS_THEME_PHRASE,misleading_omissions
204,296,HAS_PHRASE,misleading_omissions
62,297,HAS_THEME_PHRASE,misleading_omissions
204,297,HAS_PHRASE,misleading_omissions
75,298,HAS_THEME_PHRASE,misleading_omissions
204,298,HAS_PHRASE,misleading_omissions
78,299,HAS_THEME_PHRASE,misleading_omissions
204,299,HAS_PHRASE,misleading_omissions
79,300,HAS_THEME_PHRASE,misleading_omissions
204,300,HAS_PHRASE,misleading_omissions
81,301,HAS_THEME_PHRASE,misleading_omissions
204,301,HAS_PHRASE,misleading_omissions
20,302,HAS_THEME_PHRASE,trade_descriptions
205,302,HAS_PHRASE,trade_descriptions
21,303,HAS_THEME_PHRASE,trade_descriptions
205,303,HAS_PHRASE,trade_descriptions
22,304,HAS_THEME_PHRASE,trade_descriptions
205,304,HAS_PHRASE,trade_descriptions
